skill_id,skill_name,category,parent_skill,related_skills,technology_stack,job_role,experience_level,skill_synonyms,skill_description
SK001,Python,Programming Language,,Django;Flask;FastAPI;Pandas;NumPy;Celery,Backend,Backend Developer;Data Engineer;ML Engineer,intermediate,Python3;Python 3;CPython;Py,General purpose programming language widely used for backend services data engineering and machine learning.
SK002,Java,Programming Language,,Spring Boot;Hibernate;Maven;Kotlin,Backend,Backend Developer;Android Developer,intermediate,Java8;Java 8;Java11;Core Java;J2EE,Object oriented language for enterprise backend and Android development.
SK003,JavaScript,Programming Language,,TypeScript;ReactJS;NodeJS;Angular;VueJS,Frontend,Frontend Developer;Full Stack Developer,intermediate,JS;ECMAScript;ES6;Vanilla JavaScript,Scripting language of the web used on both browser and server.
SK004,TypeScript,Programming Language,JavaScript,ReactJS;Angular;NestJS;NodeJS,Frontend,Frontend Developer;Full Stack Developer,intermediate,TS;Typescript,Typed superset of JavaScript that compiles to plain JavaScript.
SK005,C++,Programming Language,,C;Qt;Embedded Systems,Systems,Systems Engineer;Game Developer,advanced,CPP;C plus plus;C/C++,High performance systems programming language.
SK006,C#,Programming Language,,.NET;ASP.NET Core;Entity Framework;Unity,Microsoft,Backend Developer;Game Developer,intermediate,CSharp;C sharp;C#.NET,Microsoft language for .NET applications and game development.
SK007,Go,Programming Language,,Docker;Kubernetes;gRPC,Backend,Backend Developer;Platform Engineer,intermediate,Golang;Go Lang,Compiled language designed for concurrent networked services.
SK008,Rust,Programming Language,,WebAssembly;Systems Programming,Systems,Systems Engineer;Backend Developer,advanced,Rust Lang,Memory safe systems language with zero cost abstractions.
SK009,PHP,Programming Language,,Laravel;WordPress;MySQL,Backend,Backend Developer;Web Developer,intermediate,PHP7;PHP8,Server side scripting language for web applications.
SK010,Ruby,Programming Language,,Ruby on Rails;RSpec,Backend,Backend Developer,intermediate,Ruby Lang,Dynamic language known for developer productivity and Rails.
SK011,Kotlin,Programming Language,Java,Android;Jetpack Compose;Spring Boot,Mobile,Android Developer;Backend Developer,intermediate,Kotlin Lang,Modern JVM language and the preferred language for Android.
SK012,Swift,Programming Language,,iOS;SwiftUI;Xcode,Mobile,iOS Developer,intermediate,Swift Lang,Apple language for iOS and macOS development.
SK013,Scala,Programming Language,Java,Apache Spark;Akka;Kafka,Data,Data Engineer;Backend Developer,advanced,Scala Lang,Functional JVM language popular for big data processing.
SK014,R,Programming Language,,Statistics;ggplot2;Data Analysis,Data,Data Analyst;Data Scientist,intermediate,R Language;RStudio,Statistical computing language used for analytics and research.
SK015,SQL,Query Language,,PostgreSQL;MySQL;Oracle;Query Optimization,Database,Data Analyst;Backend Developer;Data Engineer,intermediate,Structured Query Language;T-SQL;PL/SQL;ANSI SQL,Declarative language for querying and manipulating relational data.
SK016,Bash,Scripting,,Linux;Shell Scripting;Automation,DevOps,DevOps Engineer;SRE,intermediate,Shell;Shell Scripting;Bash Scripting;Zsh,Unix shell used for automation and operational tooling.
